 DEBUG | ast_to_json:main:line71 - Loading plugins: ['pass_plugins.builtin']
 DEBUG | loader:load_pass_plugins:line24 - <module 'pass_plugins.builtin' from '/home/kenai/projects/NFASRPR_TRANS/src/pass_plugins/builtin/__init__.py'>
 DEBUG | loader:load_pass_plugins:line26 - sou um plugin
 DEBUG | loader:load_pass_plugins:line29 - sou chamado
 DEBUG | __init__:initialize:line3 - Initializing builtin pass plugins.
 DEBUG | pass_registry:deco:line137 - Registered pass: names_visibility
 DEBUG | pass_registry:deco:line137 - Registered pass: naming_conventions
 DEBUG | pass_registry:deco:line137 - Registered pass: method_kind
 DEBUG | pass_registry:deco:line137 - Registered pass: class_kind
 DEBUG | pass_registry:deco:line137 - Registered pass: docs_comments
 INFO | ast_to_json:main:line81 - Processing file: /home/kenai/projects/NFASRPR_TRANS/exemplos/exemplo_curto.py
 DEBUG | ast_to_json:read_text:line18 - Reading file: /home/kenai/projects/NFASRPR_TRANS/exemplos/exemplo_curto.py
 DEBUG | ast_to_json:main:line84 - Read source from file: /home/kenai/projects/NFASRPR_TRANS/exemplos/exemplo_curto.py
 INFO | ast_to_json:process_source:line41 - Processing source with strategy: recursive_pre
 DEBUG | ast_to_json:process_source:line43 - AST tree type: Module
 DEBUG | ast_to_json:process_source:line46 - Collected 1 comments
 DEBUG | ast_to_json:process_source:line48 - Context initialized with 18 lines and 1 comment lines
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: None, this plugin analyzes naming conventions
 DEBUG | docs_comments:has_lineno:line9 - Checking if node None has lineno: False
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: None, this plugin analyzes naming conventions
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: None, this plugin analyzes naming conventions
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: None, this plugin analyzes naming conventions
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: None, this plugin analyzes naming conventions
 INFO | names_visibility:pass_names_visibility:line16 - Starting names_visibility pass for node: None, this plugin sets names, qualified names, decorators, visibility, and method info
 INFO | naming:pass_naming_conventions:line15 - Starting naming_conventions pass for node: Foo, this plugin analyzes naming conventions
 DEBUG | naming:pass_naming_conventions:line18 - Node Foo original name: Foo
 DEBUG | naming:pass_naming_conventions:line20 - Node Foo name tokens: ['foo']
 DEBUG | naming:pass_naming_conventions:line22 - Node Foo naming style: PascalCase
 INFO | class_kind:pass_class_kind:line16 - Starting class_kind pass for class: Foo, this plugin determines class kinds by analyzing bases and decorators
 DEBUG | class_kind:pass_class_kind:line18 - Class Foo bases: []
 DEBUG | class_kind:pass_class_kind:line27 - Class Foo decorators: []
 DEBUG | class_kind:pass_class_kind:line29 - Class Foo is_dataclass: False
 DEBUG | class_kind:pass_class_kind:line31 - Class Foo is_dataclass: False, is_final: False
 DEBUG | class_kind:pass_class_kind:line33 - Class Foo is_enum: False
 DEBUG | class_kind:pass_class_kind:line35 - Class Foo is_protocol: False
 DEBUG | class_kind:pass_class_kind:line37 - Class Foo has_abc_base: False
 DEBUG | class_kind:pass_class_kind:line39 - Class Foo has_abc_meta: False
 DEBUG | class_kind:pass_class_kind:line48 - Class Foo abstract_methods: []
 DEBUG | class_kind:pass_class_kind:line58 - Class Foo is_concrete: True
